WORD
January
February
March
April
May
June
July
Agust
September
October
November
December
Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday
French
American
People
One day
Two days
Three days
Four days
Five days
Six days
Seven days
Eight days
Nine days
Ten days
One person
Two people
Three people
Four people
Five people
Six people
Seven people
Eight people
Nine people
Ten people
1111 yen
56398 yen
Tomorrow
Day of the week
A jar
Water
Moon
Month
One thousand people
Fire
Wood
Dwarf
Child
Money
Native	person
Japan
Origin
Book
Tree
Ground
Big
Small
Adult
Flood	
Middle
Between/inside/within
During the day
All day
Feng shui
Wind
Japanese style
Climate
Heavy rain
Drizzle
Down pour}
